geo_id,msa,week_starting,population,traveling_work_school_count_avg_weekday,traveling_work_school_proportion_avg_weekday,traveling_work_school_change_in_proportion_since_baseline
41860,"San Francisco-Oakland-Hayward, CA",01-06-2020,4673221,922050.0,0.19730502794539355190,0.000000000000000000000
41860,"San Francisco-Oakland-Hayward, CA",01-13-2020,4673221,1079013.0,0.23089278251552836898,0.170232633805108182863
41860,"San Francisco-Oakland-Hayward, CA",01-20-2020,4673221,1039909.0,0.22252510634528091010,0.127822786182961878395
41860,"San Francisco-Oakland-Hayward, CA",01-27-2020,4673221,1190775.0,0.25480819332105201102,0.291442980315601106216
41860,"San Francisco-Oakland-Hayward, CA",02-03-2020,4673221,1108045.0,0.23710520003226896395,0.201718995716067458354
41860,"San Francisco-Oakland-Hayward, CA",02-10-2020,4673221,1272401.0,0.27227494697982398008,0.379969632883249281501
41860,"San Francisco-Oakland-Hayward, CA",02-17-2020,4673221,1173016.0,0.25100803064952417187,0.272182636516457892724
41860,"San Francisco-Oakland-Hayward, CA",02-24-2020,4673221,1031128.0,0.22064610254896997167,0.118299441461959763542
41860,"San Francisco-Oakland-Hayward, CA",03-02-2020,4673221,1313370.0,0.28104170549605935606,0.424402147388970229359
41860,"San Francisco-Oakland-Hayward, CA",03-09-2020,4673221,1477974.0,0.31626452076629802014,0.602921750447372702099
41860,"San Francisco-Oakland-Hayward, CA",03-16-2020,4673221,859207.0,0.18385755777439158131,-0.068155739927335827778
41860,"San Francisco-Oakland-Hayward, CA",03-23-2020,4673221,785735.0,0.16813563920901665040,-0.147839054281221191914
41860,"San Francisco-Oakland-Hayward, CA",03-30-2020,4673221,771888.0,0.16517258653078893551,-0.162856678054335448197
41860,"San Francisco-Oakland-Hayward, CA",04-06-2020,4673221,747397.0,0.15993187568060658805,-0.189418144352258554297
41860,"San Francisco-Oakland-Hayward, CA",04-13-2020,4673221,748489.0,0.16016554748855232825,-0.188233826798980532537
41860,"San Francisco-Oakland-Hayward, CA",04-20-2020,4673221,746689.0,0.15978037417875165758,-0.190185998590098150876
41860,"San Francisco-Oakland-Hayward, CA",04-27-2020,4673221,645856.0,0.13820360731923442097,-0.299543408708855268155
41860,"San Francisco-Oakland-Hayward, CA",05-04-2020,4673221,636194.0,0.13613608258629326539,-0.310022233067621061790
41860,"San Francisco-Oakland-Hayward, CA",05-11-2020,4673221,608834.0,0.13028144827732307118,-0.339695244292608860669
41860,"San Francisco-Oakland-Hayward, CA",05-18-2020,4673221,632094.0,0.13525874338063618220,-0.314468846591833414658
41860,"San Francisco-Oakland-Hayward, CA",05-25-2020,4673221,502033.0,0.10742761791064449980,-0.455525188438804837050
41860,"San Francisco-Oakland-Hayward, CA",06-01-2020,4673221,640117.0,0.13697554641648661598,-0.305767583102868607978
41860,"San Francisco-Oakland-Hayward, CA",06-08-2020,4673221,648931.0,0.13886161172347723337,-0.296208448565696003466
41860,"San Francisco-Oakland-Hayward, CA",06-15-2020,4673221,624105.0,0.13354921584063753886,-0.323133235724743777467
41860,"San Francisco-Oakland-Hayward, CA",06-22-2020,4673221,608928.0,0.13030156288350155064,-0.339593297543517162864
41860,"San Francisco-Oakland-Hayward, CA",06-29-2020,4673221,605108.0,0.12948413952603568288,-0.343736239900222330696
41860,"San Francisco-Oakland-Hayward, CA",07-06-2020,4673221,694777.0,0.14867197592410031539,-0.246486633045930264102
41860,"San Francisco-Oakland-Hayward, CA",07-13-2020,4673221,650403.0,0.13917659789682533739,-0.294612005856515373331
41860,"San Francisco-Oakland-Hayward, CA",07-20-2020,4673221,652901.0,0.13971113285675982368,-0.291902825226397700802
41860,"San Francisco-Oakland-Hayward, CA",07-27-2020,4673221,664893.0,0.14227724304072073630,-0.278897022938018545621
41860,"San Francisco-Oakland-Hayward, CA",08-03-2020,4673221,658858.0,0.14098584252702793213,-0.285442221137682338253
41860,"San Francisco-Oakland-Hayward, CA",08-10-2020,4673221,667706.0,0.14287918332987033996,-0.275846212244455289870
41860,"San Francisco-Oakland-Hayward, CA",08-17-2020,4673221,668176.0,0.14297975636076273731,-0.275336478498996800594
41860,"San Francisco-Oakland-Hayward, CA",08-24-2020,4673221,641650.0,0.13730358568533352050,-0.304104983460766769696
41860,"San Francisco-Oakland-Hayward, CA",08-31-2020,4673221,670838.0,0.14354938488892350693,-0.272449433327910633939
41860,"San Francisco-Oakland-Hayward, CA",09-07-2020,4673221,583933.0,0.12495300350657501539,-0.366701371942953202111
41860,"San Francisco-Oakland-Hayward, CA",09-14-2020,4673221,642505.0,0.13748654300748883907,-0.303177701859985900976
41860,"San Francisco-Oakland-Hayward, CA",09-21-2020,4673221,636722.0,0.13624906675716812879,-0.309449596008893227060
41860,"San Francisco-Oakland-Hayward, CA",09-28-2020,4673221,682229.0,0.14598688998444541784,-0.260095439509787972452
41860,"San Francisco-Oakland-Hayward, CA",10-05-2020,4673221,602987.0,0.12903027697598722594,-0.346036548994089257641
41860,"San Francisco-Oakland-Hayward, CA",10-12-2020,4673221,650947.0,0.13929300583045398452,-0.294022016159644270929
41860,"San Francisco-Oakland-Hayward, CA",10-19-2020,4673221,711336.0,0.15221535638909437409,-0.228527737107532129520
41860,"San Francisco-Oakland-Hayward, CA",10-26-2020,4673221,719607.0,0.15398522774762845583,-0.219557507727346673196
41860,"San Francisco-Oakland-Hayward, CA",11-02-2020,4673221,685851.0,0.14676194427783321183,-0.256167236050105742618
41860,"San Francisco-Oakland-Hayward, CA",11-09-2020,4673221,649146.0,0.13890761853548120237,-0.295975272490645843481
